Code,Area,Births,"1 Year Survival Numbers","1 Year Survival Percent","2 Year Survival Numbers","2 Year Survival Percent","3 Year Survival Numbers","3 Year Survival Percent","4 Year Survival Numbers","4 Year Survival Percent","5 Year Survival Numbers","5 Year Survival Percent"
E09000001,City of London,"1,900","1,435",76,"1,190",63,995,52,855,45,720,38
E09000002,Barking and Dagenham,845,790,93,620,73,475,56,395,47,335,40
E09000003,Barnet,"2,995","2,615",87,"2,090",70,"1,685",56,"1,430",48,"1,225",41
E09000004,Bexley,895,830,93,675,75,530,59,460,51,395,44
E09000005,Brent,"1,975","1,810",92,"1,390",70,"1,095",55,920,47,775,39
E09000006,Bromley,"1,670","1,555",93,"1,285",77,"1,040",62,875,52,745,45
E09000007,Camden,"3,140","2,705",86,"2,175",69,"1,755",56,"1,460",46,"1,240",39
E09000008,Croydon,"1,765","1,645",93,"1,300",74,"1,030",58,825,47,695,39
E09000009,Ealing,"2,225","2,050",92,"1,635",74,"1,305",59,"1,115",50,945,42
E09000010,Enfield,"1,615","1,485",92,"1,190",74,955,59,820,51,705,44
E09000011,Greenwich,"1,250","1,155",92,890,71,705,56,585,47,500,40
E09000012,Hackney,"2,140","1,915",89,"1,580",74,"1,255",59,"1,050",49,930,43
E09000013,Hammersmith and Fulham,"1,885","1,700",90,"1,305",69,990,53,795,42,670,36
E09000014,Haringey,"1,500","1,370",91,"1,070",71,850,57,720,48,610,41
E09000015,Harrow,"1,730","1,605",93,"1,290",75,"1,035",60,880,51,750,43
E09000016,Havering,"1,085","1,015",94,835,77,685,63,580,53,490,45
E09000017,Hillingdon,"1,490","1,380",93,"1,110",75,895,60,780,52,660,44
E09000018,Hounslow,"1,820","1,650",91,"1,350",74,"1,060",58,900,49,790,43
E09000019,Islington,"2,335","2,080",89,"1,610",69,"1,235",53,"1,050",45,890,38
E09000020,Kensington and Chelsea,"1,685","1,505",89,"1,160",69,910,54,765,45,655,39
E09000021,Kingston upon Thames,980,910,93,775,79,645,66,575,59,490,50
E09000022,Lambeth,"4,255","4,110",97,"2,870",68,"1,790",42,"1,440",34,"1,065",25
E09000023,Lewisham,"1,415","1,320",93,"1,065",75,835,59,710,50,600,42
E09000024,Merton,"1,530","1,405",92,"1,105",72,875,57,760,50,650,42
E09000025,Newham,"1,575","1,450",92,"1,070",68,820,52,685,43,580,37
E09000026,Redbridge,"1,830","1,660",91,"1,295",71,"1,025",56,860,47,730,40
E09000027,Richmond upon Thames,"1,595","1,465",92,"1,210",76,970,61,855,54,730,46
E09000028,Southwark,"1,995","1,780",89,"1,415",71,"1,100",55,920,46,795,40
E09000029,Sutton,910,845,93,700,77,575,63,475,52,410,45
E09000030,Tower Hamlets,"2,395","2,120",89,"1,660",69,"1,285",54,"1,030",43,860,36
E09000031,Waltham Forest,"1,385","1,275",92,985,71,750,54,620,45,520,38
E09000032,Wandsworth,"2,370","2,160",91,"1,765",75,"1,365",58,"1,130",48,945,40
E09000033,Westminster,"6,915","5,585",81,"4,440",64,"3,515",51,"2,920",42,"2,460",36
E13000001,Inner London,"35,505","31,235",88,"24,375",69,"18,700",53,"15,530",44,"13,020",37
E13000002,Outer London,"29,590","27,145",92,"21,730",73,"17,335",59,"14,710",50,"12,540",42
E12000001,North East,"7,265","6,695",92,"5,495",76,"4,390",60,"3,720",51,"3,165",44
E12000002,North West,"26,535","24,400",92,"19,700",74,"15,765",59,"13,325",50,"11,375",43
E12000003,Yorkshire And The Humber,"17,680","16,200",92,"13,130",74,"10,570",60,"8,995",51,"7,760",44
E12000004,East Midlands,"16,625","15,350",92,"12,465",75,"10,100",61,"8,645",52,"7,470",45
E12000005,West Midlands,"19,650","18,095",92,"14,700",75,"11,835",60,"10,065",51,"8,715",44
E12000006,East,"25,335","23,325",92,"19,145",76,"15,585",62,"13,325",53,"11,505",45
E12000007,London,"65,095","58,380",90,"46,105",71,"36,030",55,"30,235",46,"25,560",39
E12000008,South East,"41,245","37,575",91,"30,890",75,"25,210",61,"21,475",52,"18,475",45
E12000009,South West,"20,230","18,665",92,"15,320",76,"12,510",62,"10,700",53,"9,270",46
E92000001,England,"239,660","218,685",91,"176,950",74,"141,995",59,"120,485",50,"103,300",43
W92000004,Wales,"8,270","7,630",92,"6,205",75,"4,995",60,"4,245",51,"3,640",44
S92000003,Scotland,"17,385","15,955",92,"13,200",76,"10,780",62,"9,055",52,"7,590",44
N92000002,Northern Ireland,"3,935","3,555",90,"2,710",69,"2,235",57,"1,990",51,"1,760",45
K04000001,England And Wales,"247,930","226,315",91,"183,155",74,"146,990",59,"124,730",50,"106,935",43
K03000001,Great Britain,"265,315","242,270",91,"196,355",74,"157,770",60,"133,785",50,"114,525",43
K02000001,United Kingdom,"269,250","245,825",91,"199,065",74,"160,005",59,"135,775",50,"116,285",43
