"","DATE","CAMERA.ID","ADDRESS","VIOLATIONS","LATITUDE","LONGITUDE","LOCATION","date","count"
"1","07/01/2014","CHI003","4124 W FOSTER AVE",123,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-01,1
"3","07/01/2014","CHI005","2080 W PERSHING",68,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-01,1
"5","07/01/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-01,1
"9","07/01/2014","CHI013","5330 S COTTAGE GROVE",42,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-01,1
"13","07/01/2014","CHI019","2917 W ROOSEVELT",62,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-01,1
"33","07/01/2014","CHI045","445 W 127TH",220,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-01,1
"96","07/02/2014","CHI003","4124 W FOSTER AVE",83,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-02,1
"98","07/02/2014","CHI005","2080 W PERSHING",52,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-02,1
"100","07/02/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-02,1
"104","07/02/2014","CHI013","5330 S COTTAGE GROVE",70,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-02,1
"108","07/02/2014","CHI019","2917 W ROOSEVELT",31,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-02,1
"128","07/02/2014","CHI045","445 W 127TH",153,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-02,1
"188","07/03/2014","CHI003","4124 W FOSTER AVE",128,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-03,1
"190","07/03/2014","CHI005","2080 W PERSHING",56,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-03,1
"192","07/03/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-03,1
"196","07/03/2014","CHI013","5330 S COTTAGE GROVE",69,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-03,1
